starttime	seconds	ctime	dtime	ttime	wait
Sat Feb 03 23:26:52 2024	1706982112	0	22	22	22
Sat Feb 03 23:26:52 2024	1706982112	0	26	26	24
Sat Feb 03 23:26:52 2024	1706982112	0	26	26	25
Sat Feb 03 23:26:54 2024	1706982114	0	27	27	26
Sat Feb 03 23:26:52 2024	1706982112	0	27	27	23
Sat Feb 03 23:26:53 2024	1706982113	0	27	27	25
Sat Feb 03 23:26:52 2024	1706982112	0	27	27	26
Sat Feb 03 23:26:52 2024	1706982112	0	27	28	26
Sat Feb 03 23:26:53 2024	1706982113	0	28	28	26
Sat Feb 03 23:26:52 2024	1706982112	0	28	28	25
Sat Feb 03 23:26:53 2024	1706982113	0	28	28	26
Sat Feb 03 23:26:53 2024	1706982113	0	28	28	26
Sat Feb 03 23:26:52 2024	1706982112	0	28	28	26
Sat Feb 03 23:26:52 2024	1706982112	0	28	28	25
Sat Feb 03 23:26:52 2024	1706982112	0	28	28	28
Sat Feb 03 23:26:52 2024	1706982112	0	28	28	26
Sat Feb 03 23:26:53 2024	1706982113	0	28	28	27
Sat Feb 03 23:26:51 2024	1706982111	0	28	28	26
Sat Feb 03 23:26:53 2024	1706982113	0	29	29	28
Sat Feb 03 23:26:53 2024	1706982113	0	29	29	28
Sat Feb 03 23:26:53 2024	1706982113	0	29	29	27
Sat Feb 03 23:26:53 2024	1706982113	0	29	29	28
Sat Feb 03 23:26:52 2024	1706982112	0	29	29	28
Sat Feb 03 23:26:54 2024	1706982114	0	30	30	25
Sat Feb 03 23:26:53 2024	1706982113	0	30	30	26
Sat Feb 03 23:26:53 2024	1706982113	0	30	30	26
Sat Feb 03 23:26:54 2024	1706982114	0	30	30	27
Sat Feb 03 23:26:54 2024	1706982114	0	30	30	28
Sat Feb 03 23:26:54 2024	1706982114	0	30	30	28
Sat Feb 03 23:26:52 2024	1706982112	0	30	30	29
Sat Feb 03 23:26:53 2024	1706982113	0	30	30	26
Sat Feb 03 23:26:53 2024	1706982113	0	30	31	27
Sat Feb 03 23:26:53 2024	1706982113	0	31	31	27
Sat Feb 03 23:26:54 2024	1706982114	0	31	31	28
Sat Feb 03 23:26:53 2024	1706982113	0	31	31	29
Sat Feb 03 23:26:52 2024	1706982112	0	31	31	30
Sat Feb 03 23:26:52 2024	1706982112	0	31	31	30
Sat Feb 03 23:26:52 2024	1706982112	0	31	31	30
Sat Feb 03 23:26:52 2024	1706982112	0	31	31	26
Sat Feb 03 23:26:54 2024	1706982114	0	31	31	29
Sat Feb 03 23:26:53 2024	1706982113	0	30	31	29
Sat Feb 03 23:26:53 2024	1706982113	0	31	31	30
Sat Feb 03 23:26:51 2024	1706982111	0	31	31	31
Sat Feb 03 23:26:53 2024	1706982113	0	31	31	29
Sat Feb 03 23:26:52 2024	1706982112	0	31	31	30
Sat Feb 03 23:26:53 2024	1706982113	0	31	31	30
Sat Feb 03 23:26:53 2024	1706982113	0	31	31	30
Sat Feb 03 23:26:53 2024	1706982113	0	31	32	29
Sat Feb 03 23:26:54 2024	1706982114	0	31	32	30
Sat Feb 03 23:26:52 2024	1706982112	0	32	32	24
Sat Feb 03 23:26:52 2024	1706982112	0	32	32	23
Sat Feb 03 23:26:53 2024	1706982113	0	32	32	29
Sat Feb 03 23:26:51 2024	1706982111	0	32	32	31
Sat Feb 03 23:26:51 2024	1706982111	0	32	32	31
Sat Feb 03 23:26:53 2024	1706982113	0	32	32	31
Sat Feb 03 23:26:52 2024	1706982112	0	32	32	31
Sat Feb 03 23:26:52 2024	1706982112	0	32	32	30
Sat Feb 03 23:26:51 2024	1706982111	0	32	32	32
Sat Feb 03 23:26:52 2024	1706982112	0	32	32	30
Sat Feb 03 23:26:52 2024	1706982112	0	32	32	31
Sat Feb 03 23:26:52 2024	1706982112	0	32	32	30
Sat Feb 03 23:26:50 2024	1706982110	0	32	32	23
Sat Feb 03 23:26:53 2024	1706982113	0	32	33	31
Sat Feb 03 23:26:53 2024	1706982113	0	32	33	31
Sat Feb 03 23:26:52 2024	1706982112	0	33	33	31
Sat Feb 03 23:26:52 2024	1706982112	0	33	33	31
Sat Feb 03 23:26:53 2024	1706982113	0	33	33	32
Sat Feb 03 23:26:54 2024	1706982114	0	33	33	32
Sat Feb 03 23:26:52 2024	1706982112	0	33	33	31
Sat Feb 03 23:26:53 2024	1706982113	0	33	33	32
Sat Feb 03 23:26:53 2024	1706982113	0	33	33	32
Sat Feb 03 23:26:53 2024	1706982113	0	33	33	32
Sat Feb 03 23:26:53 2024	1706982113	0	33	33	31
Sat Feb 03 23:26:50 2024	1706982110	0	33	33	33
Sat Feb 03 23:26:54 2024	1706982114	0	33	33	32
Sat Feb 03 23:26:54 2024	1706982114	0	34	34	32
Sat Feb 03 23:26:51 2024	1706982111	0	34	34	33
Sat Feb 03 23:26:53 2024	1706982113	0	33	34	32
Sat Feb 03 23:26:53 2024	1706982113	0	34	34	31
Sat Feb 03 23:26:53 2024	1706982113	0	34	34	31
Sat Feb 03 23:26:51 2024	1706982111	0	34	34	32
Sat Feb 03 23:26:54 2024	1706982114	0	34	34	31
Sat Feb 03 23:26:53 2024	1706982113	0	34	34	31
Sat Feb 03 23:26:54 2024	1706982114	0	34	34	31
Sat Feb 03 23:26:52 2024	1706982112	0	34	34	33
Sat Feb 03 23:26:54 2024	1706982114	0	34	34	33
Sat Feb 03 23:26:51 2024	1706982111	0	34	34	33
Sat Feb 03 23:26:53 2024	1706982113	0	34	34	26
Sat Feb 03 23:26:53 2024	1706982113	0	34	34	34
Sat Feb 03 23:26:51 2024	1706982111	0	34	34	34
Sat Feb 03 23:26:53 2024	1706982113	0	34	34	31
Sat Feb 03 23:26:52 2024	1706982112	0	34	34	32
Sat Feb 03 23:26:52 2024	1706982112	0	35	35	34
Sat Feb 03 23:26:53 2024	1706982113	0	34	35	32
Sat Feb 03 23:26:54 2024	1706982114	0	34	35	31
Sat Feb 03 23:26:54 2024	1706982114	0	35	35	33
Sat Feb 03 23:26:54 2024	1706982114	0	35	35	34
Sat Feb 03 23:26:54 2024	1706982114	0	35	35	32
Sat Feb 03 23:26:54 2024	1706982114	0	35	35	30
Sat Feb 03 23:26:54 2024	1706982114	0	35	35	32
Sat Feb 03 23:26:51 2024	1706982111	0	35	35	34
Sat Feb 03 23:26:54 2024	1706982114	0	35	35	30
Sat Feb 03 23:26:52 2024	1706982112	0	35	35	34
Sat Feb 03 23:26:52 2024	1706982112	0	35	35	34
Sat Feb 03 23:26:53 2024	1706982113	0	35	35	31
Sat Feb 03 23:26:53 2024	1706982113	0	35	35	31
Sat Feb 03 23:26:53 2024	1706982113	0	35	35	34
Sat Feb 03 23:26:51 2024	1706982111	0	35	35	33
Sat Feb 03 23:26:54 2024	1706982114	0	35	35	34
Sat Feb 03 23:26:52 2024	1706982112	0	35	35	34
Sat Feb 03 23:26:54 2024	1706982114	0	35	35	32
Sat Feb 03 23:26:52 2024	1706982112	0	35	36	34
Sat Feb 03 23:26:55 2024	1706982115	0	36	36	33
Sat Feb 03 23:26:54 2024	1706982114	0	36	36	35
Sat Feb 03 23:26:52 2024	1706982112	0	36	36	34
Sat Feb 03 23:26:52 2024	1706982112	0	36	36	35
Sat Feb 03 23:26:53 2024	1706982113	0	36	36	31
Sat Feb 03 23:26:53 2024	1706982113	0	36	36	34
Sat Feb 03 23:26:53 2024	1706982113	0	36	36	35
Sat Feb 03 23:26:54 2024	1706982114	0	36	36	34
Sat Feb 03 23:26:52 2024	1706982112	0	36	36	34
Sat Feb 03 23:26:52 2024	1706982112	0	36	36	35
Sat Feb 03 23:26:53 2024	1706982113	0	36	36	35
Sat Feb 03 23:26:54 2024	1706982114	0	36	36	34
Sat Feb 03 23:26:54 2024	1706982114	0	36	36	34
Sat Feb 03 23:26:53 2024	1706982113	0	36	36	35
Sat Feb 03 23:26:51 2024	1706982111	0	36	36	36
Sat Feb 03 23:26:54 2024	1706982114	0	36	36	34
Sat Feb 03 23:26:50 2024	1706982110	0	36	36	36
